
-74, -115, 22, 0, 3, 70, 0, 0, 1, 82, -33, 0, 3, 82, 54, 0, 4, -1, 39, -85
-74, -115, 22, 0, 3, 95, 0, 0, 1, 107, 46, 0, 1, 120, 102, 0, 3, 120, -27, 0
-74, -115, 22, 0, 2, -1, 38, 1, 1, -1, 0, 0, 4, -1, 99, -70, 0, 0, 0, 0
-74, -115, 22, 0, 2, -1, 38, 1, 1, -1, 0, 0, 4, -1, 99, -70, 0, 0, 0, 0

-70, -115, 22, 0, 3, 127, 0, 0, 1, -91, 0, 0, 2, -104, 0, 0, 4, -1, 63, -64
-70, -115, 22, 0, 3, 127, 0, 0, 1, -91, 0, 0, 2, -104, 0, 0, 4, -1, 63, -64
-70, -115, 22, 0, 3, 127, 0, 0, 1, -91, 0, 0, 2, -104, 0, 0, 4, -1, 63, -64

-68, -115, 22, 0, 3, 65, 6, 0, 1, 77, 13, 1, 3, 77, 82, 0, 1, 102, 0, 0
-68, -115, 22, 0, 1, -1, 0, 0, 2, -9, 0, 0, 4, -1, 123, -49, 0, 0, 0, 0
-68, -115, 22, 0, 1, -1, 0, 0, 2, -9, 0, 0, 4, -1, 123, -49, 0, 0, 0, 0

-24, -114, 22, 0, 1, 75, 0, 0, 1, 87, 49, 2, 4, 12, -12, 1, 0, 0, 0, 0
-24, -114, 22, 0, 1, 75, 0, 0, 1, 87, 49, 2, 4, 12, -12, 1, 0, 0, 0, 0
-24, -114, 22, 0, 1, 75, 0, 0, 1, 87, 49, 2, 4, 12, -12, 1, 0, 0, 0, 0

-23, -114, 22, 0, 1, 62, 8, 0, 1, 75, -62, 2, 3, 87, 37, 0, 4, 12, -12, 1

-22, -114, 22, 0, 1, 83, 0, 0, 1, 88, -92, 2, 4, 5, -16, 0, 0, 0, 0, 0
-22, -114, 22, 0, 1, 83, 0, 0, 1, 88, -92, 2, 4, 5, -16, 0, 0, 0, 0, 0

-21, -114, 22, 0, 1, 50, 0, 0, 1, 57, -69, 2, 4, 7, 4, 1, 0, 0, 0, 0

-20, -114, 22, 0, 2, 70, 0, 0, 2, 79, 90, 3, 4, 9, 124, 1, 0, 0, 0, 0
-20, -114, 22, 0, 2, 70, 0, 0, 2, 79, 90, 3, 4, 9, 124, 1, 0, 0, 0, 0
-20, -114, 22, 0, 2, 98, 32, 0, 2, 106, 15, 3, 4, 8, 84, 1, 0, 0, 0, 0

-19, -114, 22, 0, 2, 73, 15, 0, 2, 84, 75, 2, 4, 11, 44, 1, 0, 0, 0, 0
-19, -114, 22, 0, 2, 99, 0, 0, 2, 108, 9, 2, 4, -1, 70, 108, 0, 0, 0, 0

-18, -114, 22, 0, 2, 74, 31, 0, 2, 82, -27, 1, 4, -1, 98, 110, 0, 0, 0, 0

-17, -114, 22, 0, 2, 51, 51, 0, 2, 58, 71, 1, 4, -1, 106, 112, 0, 0, 0, 0
-17, -114, 22, 0, 2, 77, 43, 0, 2, 84, -26, 0, 2, 88, 1, 0, 4, -1, -102, 114

-15, -114, 22, 0, 2, 93, 49, 0, 1, 96, 7, 0, 2, 98, -122, 1, 1, 108, -88, 2
-15, -114, 22, 0, 2, 103, 0, 0, 1, 126, 18, 0, 1, -118, -33, 1, 1, -98, 44, 0
-15, -114, 22, 0, 2, 103, 0, 0, 1, 126, 18, 0, 1, -118, -33, 1, 1, -98, 44, 0
-15, -114, 22, 0, 1, -80, -61, 2, 1, -73, 0, 0, 1, -46, 0, 0, 1, -35, -2, 2

-12, -114, 22, 0, 2, 74, 103, 0, 2, 83, 7, 1, 1, 88, 0, 0, 2, 99, 28, 0
-12, -114, 22, 0, 2, 74, 103, 0, 2, 83, 7, 1, 1, 88, 0, 0, 2, 99, 28, 0
-12, -114, 22, 0, 1, 102, 69, 3, 2, 106, 116, 1, 2, 110, 7, 0, 1, 126, 36, 0

-11, -114, 22, 0, 2, 76, 31, 0, 2, 83, -104, 1, 1, 84, 75, 3, 2, 88, 0, 0
-11, -114, 22, 0, 2, 76, 31, 0, 2, 83, -104, 1, 1, 84, 75, 3, 2, 88, 0, 0

-10, -114, 22, 0, 2, 61, 67, 0, 1, 66, -23, 2, 2, 66, -9, 0, 2, 70, 0, 0
-10, -114, 22, 0, 2, 61, 67, 0, 1, 66, -23, 2, 2, 66, -9, 0, 2, 70, 0, 0
-10, -114, 22, 0, 1, 88, 4, 0, 4, 5, -50, 1, 0, 0, 0, 0, 0, 0, 0, 0
